head,dgp,path,t,alpha,true_v,true_e,e0_v,e2_v,e2_e,e3_v,e3_e
chronos_base,garch_t,5,863,0.01,-5.967463173309977,-7.398171738406333,-0.787214457988739,-1.3194678612133035,-1.6358772035035385,-1.10691262958363,-1.2495728867696623
chronos_base,garch_t,5,863,0.025,-4.75097097862244,-6.118783581618527,-0.7720757126808167,-1.0911799283066703,-1.3659571867926248,-0.9524736632500818,-1.1114946355992061
chronos_base,garch_t,5,863,0.05,-3.8311547778284836,-5.179193787347684,-0.7417982220649719,-0.9325132359537072,-1.1839924553193115,-0.8239840985333033,-0.996616798671519
chronos_bolt,garch_t,5,880,0.01,-4.70601943336695,-5.834294902404059,-2.3351266384124756,-5.261216245583656,-6.7624720783270975,-5.362142299046767,-6.38967981333555
chronos_bolt,garch_t,5,880,0.025,-3.7466777931296686,-4.825352684613486,-2.3351266384124756,-4.098515169466308,-5.456218028216428,-4.258925580160006,-5.397954319852267
chronos_bolt,garch_t,5,880,0.05,-3.0212987182453026,-4.084379895538151,-2.3351266384124756,-3.2607976354409547,-4.543081001405673,-3.345526664980529,-4.576863618092842
chronos_2,garch_t,5,880,0.01,-4.70601943336695,-5.834294902404059,-5.301258087158203,-5.81144918019344,-7.48587467334601,-6.2345656784764465,-7.44077873686109
chronos_2,garch_t,5,880,0.025,-3.7466777931296686,-4.825352684613486,-4.64604377746582,-4.514630689763952,-6.028944392487686,-4.93951377619088,-6.276604948616998
chronos_2,garch_t,5,880,0.05,-3.0212987182453026,-4.084379895538151,-3.5540194511413574,-3.5802825497339974,-5.01047713122192,-3.867286549755806,-5.312737145439079
chronos_base,garch_t,5,880,0.01,-4.70601943336695,-5.834294902404059,-0.27447909116744995,-0.8960459861647585,-1.2087023844737634,-0.7541587670941514,-0.9366042051397026
chronos_base,garch_t,5,880,0.025,-3.7466777931296686,-4.825352684613486,-0.27447909116744995,-0.6538980971507086,-0.9366576885089102,-0.5582760331427921,-0.7605174058127371
chronos_base,garch_t,5,880,0.05,-3.0212987182453026,-4.084379895538151,-0.2455865442752838,-0.4794323323716094,-0.7464848160788223,-0.3960965867742615,-0.614727835432608
chronos_bolt,garch_t,5,896,0.01,-6.207708641855834,-7.696016431210742,-3.0288009643554688,-6.3928884080170025,-8.110332915189087,-6.67844972432077,-8.24942320137904
chronos_bolt,garch_t,5,896,0.025,-4.942241408897053,-6.365121093188165,-3.0288009643554688,-5.035633016561169,-6.607299554757709,-5.236848939271794,-6.809284857562235
chronos_bolt,garch_t,5,896,0.05,-3.9853941167133464,-5.387704137892665,-3.0288009643554688,-4.047563235666608,-5.545492051706421,-4.145428536681102,-5.718971653451827
