asset,config,alpha,erule,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor
dgs2,untruncated,0.01,e0,2625,26.25,0.01638095238095238,9.052128150671422,0.0026238922251951868,0.0030996900309969004,10.71506241783868,0.0047125260002945715,0.0024997500249975004,2.2762685665881962e-05,0.18748746432622274,3.6600667692438504,0.7143718854203152
dgs2,untruncated,0.025,e0,2625,65.625,0.03580952380952381,11.121309451022398,0.000853415149399916,0.000999900009999,11.813936668278643,0.002720421808237859,0.0014998500149985001,2.5479248456463606e-07,0.3731881547161512,4.436682933513274,0.5476760314885915
dgs2,untruncated,0.05,e0,2625,131.25,0.06857142857142857,17.16634080485801,3.424507199065528e-05,9.999000099990002e-05,17.412109324549874,0.00016558023743835953,0.00029997000299970003,1.0480112167239988e-07,0.59775298804775,4.527180896191726,0.3951647455534591
eth,topk50,0.01,e0,2647,26.47,0.3732527389497544,5635.607156885792,0.0,9.999000099990002e-05,5642.676578378751,0.0,9.999000099990002e-05,0.0,1.078490439513748,3.46971351609116,0.6743985800665897
eth,topk50,0.025,e0,2647,66.175,0.38005289006422366,3989.4259793763686,0.0,9.999000099990002e-05,3996.2017751201056,0.0,9.999000099990002e-05,0.0,1.1076848282959153,3.4608670234021166,0.4254396255736757
eth,topk50,0.05,e0,2647,132.35,0.38571968265961465,2754.0789414779583,0.0,9.999000099990002e-05,2761.8810393691965,0.0,9.999000099990002e-05,0.0,1.1391090094918221,3.4527616650738078,0.30012669678014414
eth,topk500,0.01,e0,2647,26.47,0.0808462410275784,533.1966776897402,5.695058276735746e-118,9.999000099990002e-05,536.8344705955972,2.6784026280252277e-117,9.999000099990002e-05,0.0,0.31556478704552227,4.64202273171559,0.9022570665812791
eth,topk500,0.025,e0,2647,66.175,0.09293539856441255,299.1914855075231,4.9421989676041604e-67,9.999000099990002e-05,301.69713190797415,3.071144162760821e-66,9.999000099990002e-05,2.786873047249167e-130,0.4138511041540346,4.484468418754499,0.5512695379715584
eth,topk500,0.05,e0,2647,132.35,0.1106913486966377,154.8965356305598,1.4750405737826168e-35,9.999000099990002e-05,155.3761005097133,1.8218325806562713e-34,9.999000099990002e-05,1.05528492490618e-52,0.5570893776324017,4.303560812908606,0.37408127651438167
eth,untruncated,0.01,e0,2647,26.47,0.014355874574990555,4.470440011045639,0.03448610959666042,0.0372962703729627,6.872261469619389,0.03218899243212805,0.0206979302069793,1.0394586633923258e-05,0.16412121528554066,7.166136626580511,1.3928620743805824
eth,untruncated,0.025,e0,2647,66.175,0.026445032111824706,0.22262092590699467,0.6370501198897345,0.6552344765523448,6.555623986423257,0.037710677824495935,0.0336966303369663,0.0002399673610560568,0.30747837721973476,6.019353710510738,0.7399508768984151
eth,untruncated,0.05,e0,2647,132.35,0.05137891953154514,0.10504884028819106,0.745852948205469,0.761023897610239,2.3186089768846614,0.3137042899844871,0.32936706329367066,0.0009382107691833531,0.4910785865582689,5.02686181376755,0.43695325008888164
gbpusd,topk50,0.01,e0,2734,27.34,0.38514996342355523,6087.696561395972,0.0,9.999000099990002e-05,6088.857231566104,0.0,9.999000099990002e-05,0.0,0.15304042654504935,0.43773351094751783,0.08371639923774118
gbpusd,topk50,0.025,e0,2734,68.35000000000001,0.39246525237746893,4337.766549964826,0.0,9.999000099990002e-05,4339.1933227276395,0.0,9.999000099990002e-05,0.0,0.15785400089960136,0.437515024892122,0.052920472418250375
gbpusd,topk50,0.05,e0,2734,136.70000000000002,0.3986832479882955,3022.260020398002,0.0,9.999000099990002e-05,3024.1742462168686,0.0,9.999000099990002e-05,0.0,0.162967235026386,0.4367153633507465,0.037352030288732324
gbpusd,topk500,0.01,e0,2734,27.34,0.0822970007315289,567.96667115787,1.5546109783555097e-125,9.999000099990002e-05,570.4341866851503,1.354534954872434e-124,9.999000099990002e-05,0.0,0.039228186977739096,0.6223081332337805,0.11901623893935512
gbpusd,topk500,0.025,e0,2734,68.35000000000001,0.091441111923921,297.7793346348453,1.0036573231081086e-66,9.999000099990002e-05,298.643185338786,1.4140223523289378e-65,9.999000099990002e-05,4.495756013747756e-123,0.052715290443559375,0.6015138569058702,0.07275726697941726
gbpusd,topk500,0.05,e0,2734,136.70000000000002,0.11119239209948793,162.35271957709529,3.464416882594145e-37,9.999000099990002e-05,162.98900012070658,4.049377993340718e-36,9.999000099990002e-05,3.89780676544615e-54,0.07265255500122951,0.5675860078670412,0.04854532616999618
gbpusd,untruncated,0.01,e0,2734,27.34,0.012801755669348939,1.9915048234781239,0.15818362574020514,0.1790820917908209,5.012804614270635,0.08156114398004725,0.05089491050894911,0.0009880872649847352,0.021121272945063222,1.1661102082729415,0.22301821841254363
gbpusd,untruncated,0.025,e0,2734,68.35000000000001,0.028163862472567667,1.079333786842085,0.298846640223838,0.31926807319268075,1.0936992939937227,0.5787702719909987,0.5781421857814218,0.07110199624585042,0.039491244230553064,0.8676516635244682,0.10494847791688366
gbpusd,untruncated,0.05,e0,2734,136.70000000000002,0.04937820043891734,0.02234182257006978,0.881181350279144,0.8943105689431057,0.8437126719752541,0.6558282515438763,0.6513348665133487,0.2209116801168956,0.06409909630331574,0.7087580055612837,0.0606196912514947
gold,topk50,0.01,e0,2639,26.39,0.3724895793861311,5602.1599914826875,0.0,9.999000099990002e-05,5614.077023191421,0.0,9.999000099990002e-05,0.0,0.2751658403978562,0.8692348472492544,0.16920665245276814
gold,topk50,0.025,e0,2639,65.97500000000001,0.38006820765441457,3977.62540742058,0.0,9.999000099990002e-05,3991.150110722458,0.0,9.999000099990002e-05,0.0,0.28413728341536276,0.8692243203264094,0.10701438738054274
gold,topk50,0.05,e0,2639,131.95000000000002,0.38651004168245545,2756.103870028435,0.0,9.999000099990002e-05,2772.6653251513717,0.0,9.999000099990002e-05,0.0,0.2929406652063206,0.8672975856950418,0.07550286650664051
gold,topk500,0.01,e0,2639,26.39,0.09018567639257294,641.2618389563813,1.7762687563145577e-141,9.999000099990002e-05,641.3861549993735,5.3059854815521775e-140,9.999000099990002e-05,0.0,0.08926778314429695,1.0683937346662047,0.2079752415776547
gold,topk500,0.025,e0,2639,65.97500000000001,0.10041682455475559,354.6983236032718,4.018206574762424e-79,9.999000099990002e-05,354.8222549909349,8.93976907279403e-78,9.999000099990002e-05,1.2138582668280922e-132,0.11228005487343054,1.0491519143942984,0.1291661390075561
gold,topk500,0.05,e0,2639,131.95000000000002,0.11936339522546419,195.79716938088836,1.7259622345423822e-44,9.999000099990002e-05,196.9212221402081,1.7342029770672563e-43,9.999000099990002e-05,2.792440443526828e-57,0.1467489265273039,1.0178787654427057,0.08861175888732098
gold,untruncated,0.01,e0,2639,26.39,0.017430845017051912,12.047935063128534,0.0005184978353012016,0.0005999400059994001,12.094918312559685,0.0023638605828577904,0.0012998700129987,2.2561362891151156e-05,0.04067344997302681,1.3740831759874401,0.26748123954794895
gold,untruncated,0.025,e0,2639,65.97500000000001,0.030693444486547934,3.275978828514667,0.07030097819185764,0.07079292070792921,3.384430118148771,0.18411125468421657,0.24417558244175583,0.0036374465009563917,0.07617533308679358,1.238955988995658,0.15253383166273618
