"cell_id","forecaster","erule","asset","alpha","n","esr_p","esback_version"
"timesfm_2_5.e3.amzn.a05","timesfm_2_5","e3","amzn",0.05,2639,0.339334841000242,"0.3.1"
"moirai_2_0.e1.amzn.a05","moirai_2_0","e1","amzn",0.05,2639,1.76201275792209e-11,"0.3.1"
"moirai_2_0.e2.amzn.a05","moirai_2_0","e2","amzn",0.05,2639,0.000739188696251891,"0.3.1"
"moirai_2_0.e3.amzn.a05","moirai_2_0","e3","amzn",0.05,2639,0.560142136536117,"0.3.1"
"lag_llama.e1.amzn.a05","lag_llama","e1","amzn",0.05,2639,0,"0.3.1"
"lag_llama.e2.amzn.a05","lag_llama","e2","amzn",0.05,2639,0.000100071459854023,"0.3.1"
"lag_llama.e3.amzn.a05","lag_llama","e3","amzn",0.05,2639,2.80220077142346e-07,"0.3.1"
"garch_t.param.amzn.a05","garch_t","param","amzn",0.05,2639,0.447006906340024,"0.3.1"
"gjr_t.param.amzn.a05","gjr_t","param","amzn",0.05,2639,0.358845822654421,"0.3.1"
"ewma94.param.amzn.a05","ewma94","param","amzn",0.05,2639,0.00426159179796948,"0.3.1"
"hs250.param.amzn.a05","hs250","param","amzn",0.05,2639,0.000519010510676932,"0.3.1"
"hs500.param.amzn.a05","hs500","param","amzn",0.05,2639,0.00155138814538602,"0.3.1"
"fhs.param.amzn.a05","fhs","param","amzn",0.05,2639,0.0314223717317164,"0.3.1"
"chronos_bolt.e1.audusd.a01","chronos_bolt","e1","audusd",0.01,2734,0.0145721632048778,"0.3.1"
"chronos_bolt.e2.audusd.a01","chronos_bolt","e2","audusd",0.01,2734,0.033259710827455,"0.3.1"
"chronos_bolt.e3.audusd.a01","chronos_bolt","e3","audusd",0.01,2734,0.0131620227971934,"0.3.1"
"chronos_2.e1.audusd.a01","chronos_2","e1","audusd",0.01,2734,0.00995279951875483,"0.3.1"
"chronos_2.e2.audusd.a01","chronos_2","e2","audusd",0.01,2734,0.0728385994993479,"0.3.1"
"chronos_2.e3.audusd.a01","chronos_2","e3","audusd",0.01,2734,0.0499158598573965,"0.3.1"
"timesfm_2_5.e1.audusd.a01","timesfm_2_5","e1","audusd",0.01,2734,0.0487211540856879,"0.3.1"
"timesfm_2_5.e2.audusd.a01","timesfm_2_5","e2","audusd",0.01,2734,0.254734289991221,"0.3.1"
"timesfm_2_5.e3.audusd.a01","timesfm_2_5","e3","audusd",0.01,2734,0.131581592299954,"0.3.1"
"moirai_2_0.e1.audusd.a01","moirai_2_0","e1","audusd",0.01,2734,0.0440984142380277,"0.3.1"
"moirai_2_0.e2.audusd.a01","moirai_2_0","e2","audusd",0.01,2734,0.1067589779068,"0.3.1"
"moirai_2_0.e3.audusd.a01","moirai_2_0","e3","audusd",0.01,2734,0.11763268505469,"0.3.1"
"lag_llama.e1.audusd.a01","lag_llama","e1","audusd",0.01,2734,7.98396517653899e-06,"0.3.1"
"lag_llama.e2.audusd.a01","lag_llama","e2","audusd",0.01,2734,0.0113192908577945,"0.3.1"
"lag_llama.e3.audusd.a01","lag_llama","e3","audusd",0.01,2734,0.00689111069929382,"0.3.1"
"garch_t.param.audusd.a01","garch_t","param","audusd",0.01,2734,0.247684723256291,"0.3.1"
"gjr_t.param.audusd.a01","gjr_t","param","audusd",0.01,2734,0.288719060650208,"0.3.1"
"ewma94.param.audusd.a01","ewma94","param","audusd",0.01,2734,0.0822908745065308,"0.3.1"
"hs250.param.audusd.a01","hs250","param","audusd",0.01,2734,0.0119268485953212,"0.3.1"
"hs500.param.audusd.a01","hs500","param","audusd",0.01,2734,0.0311788204599853,"0.3.1"
"fhs.param.audusd.a01","fhs","param","audusd",0.01,2734,0.263143905990604,"0.3.1"
"chronos_bolt.e1.audusd.a025","chronos_bolt","e1","audusd",0.025,2734,2.75177230423251e-05,"0.3.1"
"chronos_bolt.e2.audusd.a025","chronos_bolt","e2","audusd",0.025,2734,0.00535812113069656,"0.3.1"
"chronos_bolt.e3.audusd.a025","chronos_bolt","e3","audusd",0.025,2734,0.00117910487681083,"0.3.1"
"chronos_2.e1.audusd.a025","chronos_2","e1","audusd",0.025,2734,0.000152328013897085,"0.3.1"
"chronos_2.e2.audusd.a025","chronos_2","e2","audusd",0.025,2734,0.014171625153083,"0.3.1"
"chronos_2.e3.audusd.a025","chronos_2","e3","audusd",0.025,2734,0.00526942800237284,"0.3.1"
"timesfm_2_5.e1.audusd.a025","timesfm_2_5","e1","audusd",0.025,2734,0.000977732721645808,"0.3.1"
"timesfm_2_5.e2.audusd.a025","timesfm_2_5","e2","audusd",0.025,2734,0.173001774027888,"0.3.1"
"timesfm_2_5.e3.audusd.a025","timesfm_2_5","e3","audusd",0.025,2734,0.114554400952304,"0.3.1"
"moirai_2_0.e1.audusd.a025","moirai_2_0","e1","audusd",0.025,2734,0.0328307220914561,"0.3.1"
"moirai_2_0.e2.audusd.a025","moirai_2_0","e2","audusd",0.025,2734,0.0667073959285687,"0.3.1"
"moirai_2_0.e3.audusd.a025","moirai_2_0","e3","audusd",0.025,2734,0.20139422704932,"0.3.1"
"lag_llama.e1.audusd.a025","lag_llama","e1","audusd",0.025,2734,2.32233121622016e-11,"0.3.1"
"lag_llama.e2.audusd.a025","lag_llama","e2","audusd",0.025,2734,3.51640606444104e-06,"0.3.1"
"lag_llama.e3.audusd.a025","lag_llama","e3","audusd",0.025,2734,1.44801035240061e-05,"0.3.1"
"garch_t.param.audusd.a025","garch_t","param","audusd",0.025,2734,0.129398688198153,"0.3.1"
"gjr_t.param.audusd.a025","gjr_t","param","audusd",0.025,2734,0.146598737386419,"0.3.1"
"ewma94.param.audusd.a025","ewma94","param","audusd",0.025,2734,0.00430286436830141,"0.3.1"
"hs250.param.audusd.a025","hs250","param","audusd",0.025,2734,0.00121827477493552,"0.3.1"
"hs500.param.audusd.a025","hs500","param","audusd",0.025,2734,0.000833888339687672,"0.3.1"
"fhs.param.audusd.a025","fhs","param","audusd",0.025,2734,0.0681099731201456,"0.3.1"
"chronos_bolt.e1.audusd.a05","chronos_bolt","e1","audusd",0.05,2734,4.30812789886659e-08,"0.3.1"
"chronos_bolt.e2.audusd.a05","chronos_bolt","e2","audusd",0.05,2734,0.000456872007257747,"0.3.1"
"chronos_bolt.e3.audusd.a05","chronos_bolt","e3","audusd",0.05,2734,4.2499352615577e-05,"0.3.1"
"chronos_2.e1.audusd.a05","chronos_2","e1","audusd",0.05,2734,2.02610592792141e-06,"0.3.1"
"chronos_2.e2.audusd.a05","chronos_2","e2","audusd",0.05,2734,0.00202236622597518,"0.3.1"
"chronos_2.e3.audusd.a05","chronos_2","e3","audusd",0.05,2734,0.000906596965594919,"0.3.1"
"timesfm_2_5.e1.audusd.a05","timesfm_2_5","e1","audusd",0.05,2734,5.33497155973395e-05,"0.3.1"
"timesfm_2_5.e2.audusd.a05","timesfm_2_5","e2","audusd",0.05,2734,0.105562321786862,"0.3.1"
"timesfm_2_5.e3.audusd.a05","timesfm_2_5","e3","audusd",0.05,2734,0.101742300865044,"0.3.1"
"moirai_2_0.e1.audusd.a05","moirai_2_0","e1","audusd",0.05,2734,0.0152174905725233,"0.3.1"
"moirai_2_0.e2.audusd.a05","moirai_2_0","e2","audusd",0.05,2734,0.0423337588401972,"0.3.1"
"moirai_2_0.e3.audusd.a05","moirai_2_0","e3","audusd",0.05,2734,0.296271608170344,"0.3.1"
"lag_llama.e1.audusd.a05","lag_llama","e1","audusd",0.05,2734,0,"0.3.1"
"lag_llama.e2.audusd.a05","lag_llama","e2","audusd",0.05,2734,1.03753672320295e-11,"0.3.1"
"lag_llama.e3.audusd.a05","lag_llama","e3","audusd",0.05,2734,3.98993060812813e-10,"0.3.1"
"garch_t.param.audusd.a05","garch_t","param","audusd",0.05,2734,0.0619393539407979,"0.3.1"
"gjr_t.param.audusd.a05","gjr_t","param","audusd",0.05,2734,0.0691922827220541,"0.3.1"
"ewma94.param.audusd.a05","ewma94","param","audusd",0.05,2734,0.000452782345454428,"0.3.1"
"hs250.param.audusd.a05","hs250","param","audusd",0.05,2734,0.000560336675555329,"0.3.1"
"hs500.param.audusd.a05","hs500","param","audusd",0.05,2734,0.000945233161021464,"0.3.1"
"fhs.param.audusd.a05","fhs","param","audusd",0.05,2734,0.0164613469021394,"0.3.1"
"chronos_bolt.e1.brent.a01","chronos_bolt","e1","brent",0.01,2641,0,"0.3.1"
"chronos_bolt.e2.brent.a01","chronos_bolt","e2","brent",0.01,2641,0.0228519428362687,"0.3.1"
"chronos_bolt.e3.brent.a01","chronos_bolt","e3","brent",0.01,2641,0.0555974552175733,"0.3.1"
"chronos_2.e1.brent.a01","chronos_2","e1","brent",0.01,2641,5.96516303019712e-09,"0.3.1"
"chronos_2.e2.brent.a01","chronos_2","e2","brent",0.01,2641,0.0012493030797518,"0.3.1"
"chronos_2.e3.brent.a01","chronos_2","e3","brent",0.01,2641,0.0226120884808607,"0.3.1"
"timesfm_2_5.e1.brent.a01","timesfm_2_5","e1","brent",0.01,2641,1.45622649716515e-07,"0.3.1"
"timesfm_2_5.e2.brent.a01","timesfm_2_5","e2","brent",0.01,2641,0.069717938641293,"0.3.1"
