model,dgp,path,t,alpha,true_v,true_e,e2_v,e2_e,e3_v,e3_e
chronos_2,gjr_t,5,1197,0.05,-1.4945017531731515,-2.0203606077230463,-1.3626253924051814,-1.9560843958855352,-1.3688652492040558,-1.8663813337202781
chronos_2,gjr_t,5,1214,0.01,-2.485471418249618,-3.081367051472188,-2.374414540730283,-3.1551492495876485,-2.2720571939599727,-2.777772499183168
chronos_2,gjr_t,5,1214,0.025,-1.9787977291780614,-2.548496951700904,-1.8042135972995006,-2.4868987651789287,-1.8014006610614912,-2.3121072580113204
chronos_2,gjr_t,5,1214,0.05,-1.5956907353483443,-2.1571541799542477,-1.4054658819425314,-2.033617860641153,-1.442279074524144,-1.9567941400247038
chronos_2,gjr_t,5,1231,0.01,-2.7812584509592937,-3.448069484721728,-2.6485683523317745,-3.5789266420692485,-2.592027484154255,-3.17713976743572
chronos_2,gjr_t,5,1231,0.025,-2.2142873446886755,-2.851784426937345,-1.9937989242167018,-2.790591947772691,-2.0537763230135737,-2.6403414614297156
chronos_2,gjr_t,5,1231,0.05,-1.7855881625589132,-2.4138693565203457,-1.5443569323921447,-2.2657300926279964,-1.645717302235128,-2.233383879322267
chronos_2,gjr_t,5,1248,0.01,-2.326309044265494,-2.884045251097528,-2.4567824253882815,-3.372157194729145,-2.2499633157566117,-2.745344624604625
chronos_2,gjr_t,5,1248,0.025,-1.852081267303728,-2.385298605525723,-1.8335221062685338,-2.6033195004231495,-1.7812808557964948,-2.286801650774805
chronos_2,gjr_t,5,1248,0.05,-1.4935073331503923,-2.0190162887637357,-1.4126993541345714,-2.0997629111736704,-1.4203735754311386,-1.933702246052798
chronos_2,gjr_t,5,1264,0.01,-2.6912647714688287,-3.336499680785718,-2.5464655576771777,-3.5364527692128807,-2.246124686590805,-2.753393484007716
chronos_2,gjr_t,5,1264,0.025,-2.1426392511686454,-2.7595087257686246,-1.8858003984188838,-2.7093065355339006,-1.7739668842241987,-2.2862803889352223
chronos_2,gjr_t,5,1264,0.05,-1.7278115655123965,-2.3357633519785455,-1.4441274155689208,-2.172861138344572,-1.4136762832475143,-1.9298392650054854
chronos_2,gjr_t,5,1281,0.01,-3.4545283461517213,-4.282756883080587,-3.223561724994248,-4.43573884220691,-3.0232310989266113,-3.711989790335647
chronos_2,gjr_t,5,1281,0.025,-2.7503083706994946,-3.5421268154964745,-2.4043275121520855,-3.4195999210641363,-2.394472650244324,-3.0816234979666475
chronos_2,gjr_t,5,1281,0.05,-2.217832334131041,-2.998203965233936,-1.8532168255277248,-2.7564970969030633,-1.9198105627303454,-2.6057476177118626
chronos_2,gjr_t,5,1298,0.01,-2.7004500764308745,-3.347887176880002,-2.6463898773479553,-3.6889317133537496,-2.425290932298844,-2.9723397430066663
chronos_2,gjr_t,5,1298,0.025,-2.1499520934999823,-2.7689269478106637,-1.9590011605309374,-2.8205972825304557,-1.9138723312803803,-2.467895475678928
chronos_2,gjr_t,5,1298,0.05,-1.733708598132312,-2.343735328178934,-1.5021844941356055,-2.2607353158165866,-1.5226718806117123,-2.082029915992896
chronos_2,gjr_t,5,1314,0.01,-4.197901761992368,-5.204355230055284,-3.365665236182893,-4.737544181059535,-3.1566408126751817,-3.846523806980204
chronos_2,gjr_t,5,1314,0.025,-3.342142023018355,-4.304350380143038,-2.4774341154011985,-3.600228724885373,-2.4896254398671136,-3.2034734423882734
chronos_2,gjr_t,5,1314,0.05,-2.69508347604783,-3.6433818013069112,-1.8923794534593361,-2.8733516061183484,-1.9696971039756708,-2.7022254658249607
chronos_2,gjr_t,5,1331,0.01,-4.5059521772669,-5.586261210888388,-3.372917795505531,-4.720548628421714,-3.706816949794027,-4.512416842645561
