forecaster,asset,alpha,erule,group,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor,fz0_mean,z2,dq_p_mc,es_viol,context_model
moirai_2_0+F2g05,brent,0.025,e3,commodity,2141,53.525000000000006,0.0266230733302195,0.2266654153635272,0.634007472320316,0.6822317768223177,3.2415870981981243,0.1977417190431739,0.2260773922607739,0.3435742972179902,0.2026041058201423,3.475194242250345,0.4750078053660908,2.0353453552011493,0.1315241290666797,0.2306769323067693,,
moirai_2_0+F2,brent,0.025,e3,commodity,2141,53.525000000000006,0.0280242877160205,0.7735925002239128,0.3791079729853258,0.4104589541045895,3.256787752144305,0.1962445141527406,0.2234776522347765,0.3681252290499568,0.2027528002330976,3.4372484206883387,0.4698211711331477,2.0375342790451723,0.1796894361584513,0.2833716628337166,,
moirai_2_0+F2g20,brent,0.025,e3,commodity,2141,53.525000000000006,0.0275572162540868,0.5562282362233191,0.4557839480162169,0.4931506849315068,3.209649366566282,0.2009247772948964,0.2315768423157684,0.3444341068018617,0.2030039999515503,3.436068145318377,0.4696598448952078,2.041803835240639,0.1729661976513918,0.2672732726727327,,
moirai_2_0+F3,brent,0.025,e3,commodity,2141,53.525000000000006,0.0308267164876226,2.7794808432237232,0.0954791137325302,0.0978902109789021,3.207388307103656,0.2011520571785114,0.2340765923407659,0.0387642308265614,0.205206451098792,3.05106094526591,0.4170350382229217,2.090037672287591,0.3298834199654579,0.0991900809919008,,
moirai_2_0+F4,brent,0.025,e3,commodity,2141,53.525000000000006,0.0317608594114899,3.7034119840320727,0.0543013201727622,0.0633936606339366,5.057044844422308,0.0797768096850235,0.073992600739926,0.1640320571299104,0.2050257015579079,3.2127626588923217,0.4391372779135239,,,0.21997800219978,44.0,
moirai_2_0+F2g05,brent,0.025,e2,commodity,2141,53.525000000000006,0.0275572162540868,0.5562282362233191,0.4557839480162169,0.4931506849315068,3.209649366566282,0.2009247772948964,0.2315768423157684,0.001682175143007,0.2010335374976716,3.231761045495419,0.4417340771991921,2.0380992016093247,0.1039629863701148,0.0068993100689931,,
moirai_2_0+F2,brent,0.025,e2,commodity,2141,53.525000000000006,0.0284913591779542,1.0252527173813633,0.3112762818336185,0.3373662633736626,3.3450141983396406,0.187775702700476,0.2152784721527847,0.0020764812644302,0.2012983018085907,3.2008885320310343,0.4375142598754398,2.0413031014201164,0.137904828444431,0.0091990800919908,,
moirai_2_0+F2g20,brent,0.025,e2,commodity,2141,53.525000000000006,0.0298925735637552,1.9806358037106973,0.1593234422010453,0.1712828717128287,3.849314943984041,0.1459257319470813,0.1511848815118488,0.014633641602578,0.2017036858742874,3.1466621665434418,0.4301023153717099,2.0460484484464634,0.1869418136345977,0.037996200379962,,
moirai_2_0+F3,brent,0.025,e2,commodity,2141,53.525000000000006,0.0317608594114899,3.7034119840320727,0.0543013201727622,0.0633936606339366,4.015693649297532,0.1342774866002306,0.130986901309869,0.0185018745999552,0.2055814181543738,2.8539578391384155,0.3900939502301441,2.0995243408007016,0.3448838013400559,0.1611838816118388,,
moirai_2_0+F4,brent,0.025,e2,commodity,2141,53.525000000000006,0.0312937879495562,3.2260383262022287,0.07247582062652,0.0871912808719128,3.593707218470172,0.1658198021866378,0.1814818518148185,0.0017676811528604,0.2056350867526338,3.0583513453871367,0.4180315284103543,,,0.0218978102189781,34.0,
garch_evt,brent,0.025,param,commodity,2141,53.525000000000006,0.0266230733302195,0.2266654153635272,0.634007472320316,0.6822317768223177,0.3740428122058574,0.8294259814174423,0.8162183781621838,0.7044950495251154,0.1910833867887187,3.148684691764422,0.4303787647439019,1.9454392828648288,0.1058337218053047,0.7866213378662134,,moirai_2_0
zero_loc,brent,0.025,param,commodity,2141,53.525000000000006,0.0252218589444184,0.0043109988868081,0.9476499541960484,1.0,0.2802039609902067,0.8692695823360561,0.8715128487151285,0.8045287240209821,0.1910448180012152,3.194748749250599,0.4366750421107169,1.9434469132850776,0.0655952923523894,0.8435156484351565,,moirai_2_0
const_loc,brent,0.025,param,commodity,2141,53.525000000000006,0.0256889304063521,0.0413210568552244,0.838919457935172,0.8922107789221078,0.2696440568257685,0.8738714221333357,0.9018098190180982,0.7801993882422161,0.19087293851881,3.2048127396066195,0.4380506411820204,1.943255125943505,0.0762587052009782,0.8363163683631637,,moirai_2_0
fhs,brent,0.025,param,commodity,2141,53.525000000000006,0.0289584306398879,1.3106628269929388,0.2522746819967114,0.2725727427257274,2.029792053803135,0.3624401118949261,0.4681531846815318,0.2957127167676017,0.1942565968918102,3.054173165877109,0.4174604328855761,1.99114190530044,0.1590219035733615,0.5371462853714628,,moirai_2_0
gjr_t,brent,0.025,param,commodity,2141,53.525000000000006,0.0382998598785614,13.397750104743976,0.0002519262999591,0.0005999400059994,13.404793361285329,0.0012279653323479,0.0010998900109989,0.006986621121597,0.1898828532481431,3.105938494836732,0.4245359899880309,1.9514994499624467,0.5965947362351653,0.0140985901409859,,moirai_2_0
moirai_2_0+unrepaired,brent,0.05,e3,commodity,2141,107.05,0.051844932274638,0.1516653582395974,0.6969489354896233,0.7274272572742726,0.4326282661317009,0.8054822335234877,0.8069193080691931,0.8243250844904879,0.3126006402490235,3.2712805155947,0.3161727605205495,1.7782693004648225,0.0641114220569571,0.7202279772022798,,
moirai_2_0+unrepaired,brent,0.05,e2,commodity,2141,107.05,0.0513778608127043,0.0848378569407941,0.7708452970462832,0.8027197280271973,0.4182015917054968,0.8113134544903886,0.817018298170183,0.3902131000275168,0.3122851467976004,3.1296444244787978,0.3024834808320683,1.7834274698076862,0.0244152418335192,0.26997300269973,,
moirai_2_0+F1,brent,0.05,e3,commodity,2141,107.05,0.0551144325081737,1.1427684643449538,0.2850680962392632,0.2984701529847015,2.1109703405469418,0.3480235356649357,0.3578642135786421,0.2426350848138672,0.3146297867756935,3.022237689151589,0.2921025049894233,1.7988889653066185,0.1655390299268868,0.2683731626837316,,
moirai_2_0+H,brent,0.05,e3,commodity,2141,107.05,0.0495095749649696,0.0108747196633203,0.9169456222917862,0.9205079492050796,0.0242943850054189,0.9879262868167324,0.9988001199880012,0.759006526853763,0.3036508459978597,2.870209107866058,0.2774087800111083,1.7229967768232886,0.0229460187018342,0.92010798920108,,
