episode,layer,alpha,t,daily_rate,trail21,trail10,band21,band10,disp_lo21,disp_hi21
vix_ep14,chronos_2:e3,0.025,30,0.0,0.0331,0.0087,0.04191,0.04886,0.0124,0.0621
vix_ep14,chronos_2:e3,0.025,31,0.0,0.0311,0.0043,0.04191,0.04886,0.0104,0.058
vix_ep14,chronos_2:e3,0.025,32,0.0435,0.0331,0.0087,0.04191,0.04886,0.0124,0.06
vix_ep14,chronos_2:e3,0.025,33,0.0,0.0269,0.0087,0.04191,0.04886,0.0083,0.0538
vix_ep14,chronos_2:e3,0.025,34,0.0,0.0269,0.0087,0.04191,0.04886,0.0083,0.0538
vix_ep14,chronos_2:e3,0.025,35,0.0,0.0269,0.0043,0.04191,0.04886,0.0083,0.0538
vix_ep14,chronos_2:e3,0.025,36,0.0,0.0124,0.0043,0.04191,0.04886,0.0062,0.0186
vix_ep14,chronos_2:e3,0.025,37,0.0,0.0124,0.0043,0.04191,0.04886,0.0062,0.0186
vix_ep14,chronos_2:e3,0.025,38,0.0,0.0104,0.0043,0.04191,0.04886,0.0041,0.0166
vix_ep14,chronos_2:e3,0.025,39,0.0,0.0083,0.0043,0.04191,0.04886,0.0021,0.0145
vix_ep14,chronos_2:e3,0.025,40,0.0,0.0062,0.0043,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,41,0.0435,0.0083,0.0087,0.04191,0.04886,0.0021,0.0145
vix_ep14,chronos_2:e3,0.025,42,0.0,0.0062,0.0043,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,43,0.0,0.0062,0.0043,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,44,0.0,0.0062,0.0043,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,45,0.0435,0.0083,0.0087,0.04191,0.04886,0.0021,0.0145
vix_ep14,chronos_2:e3,0.025,46,0.0,0.0062,0.0087,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,47,0.0,0.0062,0.0087,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,48,0.0,0.0062,0.0087,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,49,0.0,0.0062,0.0087,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,50,0.0,0.0062,0.0087,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,51,0.0,0.0062,0.0043,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,52,0.0,0.0062,0.0043,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,53,0.0,0.0041,0.0043,0.04191,0.04886,0.0,0.0083
vix_ep14,chronos_2:e3,0.025,54,0.0435,0.0062,0.0087,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,55,0.0,0.0062,0.0043,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,56,0.0,0.0062,0.0043,0.04191,0.04886,0.0021,0.0124
vix_ep14,chronos_2:e3,0.025,57,0.0435,0.0083,0.0087,0.04191,0.04886,0.0021,0.0145
vix_ep14,chronos_2:e3,0.025,58,0.0,0.0083,0.0087,0.04191,0.04886,0.0021,0.0145
vix_ep14,chronos_2:e3,0.025,59,0.0,0.0083,0.0087,0.04191,0.04886,0.0021,0.0145
vix_ep14,chronos_2:e3,0.025,60,0.0,0.0083,0.0087,0.04191,0.04886,0.0021,0.0145
vix_ep14,chronos_2:e3,0.05,1,0.3043,,,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,2,0.1304,,,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,3,0.1739,,,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,4,0.1304,,,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,5,0.0435,,,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,6,0.087,,,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,7,0.0,,,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,8,0.1304,,,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,9,0.0435,,,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,10,0.0435,,0.1087,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,11,0.0435,,0.0826,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,12,0.3043,,0.1,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,13,0.0435,,0.087,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,14,0.0,,0.0739,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,15,0.3913,,0.1087,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,16,0.087,,0.1087,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,17,0.1739,,0.1261,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,18,0.0435,,0.1174,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,19,0.087,,0.1217,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,20,0.087,,0.1261,0.07467,0.08549,,
vix_ep14,chronos_2:e3,0.05,21,0.0435,0.1139,0.1261,0.07467,0.08549,0.0787,0.1532
vix_ep14,chronos_2:e3,0.05,22,0.0,0.0994,0.0957,0.07467,0.08549,0.0683,0.1366
vix_ep14,chronos_2:e3,0.05,23,0.0435,0.0952,0.0957,0.07467,0.08549,0.0621,0.1325
vix_ep14,chronos_2:e3,0.05,24,0.0435,0.089,0.1,0.07467,0.08549,0.058,0.1284
