episode,index,onset,layer,alpha,window,n_assets,n_calm_days,band,mde_mult,dep_uncalibrated,direction_only,descriptive_only,tau_rec,ever_above,censored,onset_rate,post_cutoff
vix_ep16,vix,2018-12-18,lag_llama:e3,0.05,21,24,252,0.0764,1.53,False,False,False,32.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,lag_llama:e3,0.05,10,24,252,0.08795,1.76,False,False,False,19.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,lag_llama:e3,0.01,21,24,252,0.01932,1.93,False,False,True,32.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,lag_llama:e3,0.01,10,24,252,0.02225,2.22,False,False,True,21.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,gjr_t,0.025,21,24,252,0.04201,1.68,False,False,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,gjr_t,0.025,10,24,252,0.0532,2.13,False,True,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,gjr_t,0.05,21,24,252,0.07595,1.52,False,False,False,,False,False,0.125,False
vix_ep16,vix,2018-12-18,gjr_t,0.05,10,24,252,0.0862,1.72,False,False,False,15.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,gjr_t,0.01,21,24,252,0.0189,1.89,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,gjr_t,0.01,10,24,252,0.02446,2.45,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,fhs,0.025,21,24,252,0.04036,1.61,False,False,False,,False,False,0.042,False
vix_ep16,vix,2018-12-18,fhs,0.025,10,24,252,0.0497,1.99,False,True,False,,False,False,0.042,False
vix_ep16,vix,2018-12-18,fhs,0.05,21,24,252,0.0746,1.49,False,False,False,,False,False,0.125,False
vix_ep16,vix,2018-12-18,fhs,0.05,10,24,252,0.08503,1.7,False,False,False,14.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,fhs,0.01,21,24,252,0.01945,1.94,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,fhs,0.01,10,24,252,0.02608,2.61,False,False,True,,False,False,0.0,False
