layer,asset,state,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
timesfm_2_5:e3,dgs10,high,627,0.04784688995215311,0.853014698530147,True,2.5580288066174117
timesfm_2_5:e3,dgs2,low,2146,0.04380242311276794,0.17998200179982002,True,2.189787812728899
timesfm_2_5:e3,dgs2,high,478,0.03556485355648536,0.14928507149285072,True,
timesfm_2_5:e3,dgs30,low,2032,0.04478346456692913,0.2880711928807119,True,
timesfm_2_5:e3,dgs30,high,592,0.05912162162162162,0.34526547345265474,True,
timesfm_2_5:e3,dgs5,low,1993,0.04315102860010035,0.1623837616238376,True,2.332536131310238
timesfm_2_5:e3,dgs5,high,631,0.04120443740095087,0.3271672832716728,True,2.641699860167619
timesfm_2_5:e3,eth,low,1546,0.054333764553686936,0.4520547945205479,True,2.1226483202748465
timesfm_2_5:e3,eth,high,612,0.06699346405228758,0.0791920807919208,True,2.408424250216907
timesfm_2_5:e3,ftse,low,2156,0.044990723562152134,0.3037696230376962,True,0.5078079458405836
timesfm_2_5:e3,ftse,high,495,0.10909090909090909,9.999000099990002e-05,False,1.6207395654878585
timesfm_2_5:e3,gold,low,1981,0.05451792024230187,0.384961503849615,True,0.8013414830239167
timesfm_2_5:e3,gold,high,657,0.0654490106544901,0.0877912208779122,True,1.099695341632178
timesfm_2_5:e3,hsi,low,2066,0.05614714424007745,0.23027697230276972,True,1.0889647876672184
timesfm_2_5:e3,hsi,high,513,0.04873294346978557,0.9212078792120788,True,1.160132608222921
timesfm_2_5:e3,jnj,low,2147,0.05263157894736842,0.5886411358864113,True,0.8929393433925842
timesfm_2_5:e3,jnj,high,491,0.06313645621181263,0.21327867213278673,True,1.2628864119425902
timesfm_2_5:e3,jpm,low,2206,0.04805077062556664,0.6991300869913009,True,1.1466272948405212
timesfm_2_5:e3,jpm,high,432,0.09027777777777778,0.0005999400059994001,False,1.782067682755042
timesfm_2_5:e3,ltc,low,2491,0.0541951023685267,0.35996400359964004,True,2.3199621085842113
timesfm_2_5:e3,ltc,high,816,0.06004901960784314,0.22947705229477053,True,2.657156625050384
