layer,asset,stratum,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
chronos_2:e3,amzn,Q1,660,0.05454545454545454,0.6586341365863414,True,1.1770530232415701
chronos_2:e3,amzn,Q2,659,0.06676783004552352,0.058894110588941104,True,1.376335325734356
chronos_2:e3,amzn,Q3,660,0.06212121212121212,0.1785821417858214,True,1.5260684676416563
chronos_2:e3,amzn,Q4,660,0.03636363636363636,0.10978902109789021,True,1.7884654794899364
chronos_2:e3,audusd,Q1,684,0.059941520467836254,0.25207479252074794,True,0.09227142952723308
chronos_2:e3,audusd,Q2,683,0.05856515373352855,0.33756624337566243,True,0.4259073988924112
chronos_2:e3,audusd,Q3,683,0.06442166910688141,0.11708829117088292,True,0.29132385550864937
chronos_2:e3,audusd,Q4,684,0.02631578947368421,0.0024997500249975004,False,0.4644743400280726
chronos_2:e3,brent,Q1,660,0.06515151515151515,0.09049095090490951,True,1.4333753235576543
chronos_2:e3,brent,Q2,660,0.05,1.0,True,1.53720448712874
chronos_2:e3,brent,Q3,660,0.05454545454545454,0.6586341365863414,True,1.799965386977816
chronos_2:e3,brent,Q4,661,0.04236006051437216,0.37796220377962203,True,2.3236590644315935
chronos_2:e3,btc,Q1,827,0.060459492140266025,0.1964803519648035,True,1.8364886466631734
chronos_2:e3,btc,Q2,827,0.04836759371221282,0.875012498750125,True,1.985680568241316
chronos_2:e3,btc,Q3,827,0.05804111245465538,0.33826617338266174,True,2.2415247540251864
chronos_2:e3,btc,Q4,827,0.04353083434099154,0.4226577342265773,True,2.3652406382500932
chronos_2:e3,copper,Q1,660,0.025757575757575757,0.0020997900209979003,False,0.9456182256302402
chronos_2:e3,copper,Q2,660,0.04696969696969697,0.7254274572542746,True,1.105814569315
chronos_2:e3,copper,Q3,660,0.04393939393939394,0.48325167483251674,True,1.8355536545442612
chronos_2:e3,copper,Q4,660,0.04242424242424243,0.37936206379362064,True,1.5793250511920474
chronos_2:e3,csi300,Q1,545,0.05321100917431193,0.7674232576742326,True,0.9365382990525574
chronos_2:e3,csi300,Q2,545,0.04036697247706422,0.32926707329267074,True,1.092259478761605
chronos_2:e3,csi300,Q3,545,0.060550458715596334,0.2793720627937206,True,1.2958191947236015
chronos_2:e3,csi300,Q4,545,0.05504587155963303,0.6208379162083791,True,1.5434788360376335
chronos_2:e3,dax,Q1,666,0.1036036036036036,9.999000099990002e-05,False,0.8049618891403401
chronos_2:e3,dax,Q2,666,0.04504504504504504,0.5951404859514049,True,0.6682871137081206
chronos_2:e3,dax,Q3,666,0.04804804804804805,0.8612138786121388,True,0.9431473920253691
chronos_2:e3,dax,Q4,667,0.038980509745127435,0.18648135186481352,True,1.4142902519346532
chronos_2:e3,dgs10,Q1,656,0.042682926829268296,0.43175682431756823,True,2.0329768342160808
chronos_2:e3,dgs10,Q2,656,0.056402439024390245,0.48205179482051796,True,2.268317522256981
chronos_2:e3,dgs10,Q3,656,0.057926829268292686,0.37746225377462256,True,2.415202136604748
chronos_2:e3,dgs10,Q4,657,0.0319634703196347,0.024897510248975102,False,2.6885915097029516
chronos_2:e3,dgs2,Q1,656,0.0625,0.18348165183481652,True,1.521714464100012
chronos_2:e3,dgs2,Q2,656,0.053353658536585365,0.7232276772322768,True,
chronos_2:e3,dgs2,Q3,656,0.05030487804878049,1.0,True,
chronos_2:e3,dgs2,Q4,657,0.0319634703196347,0.024897510248975102,False,3.0389227636208145
chronos_2:e3,dgs30,Q1,656,0.05945121951219512,0.2886711328867113,True,
chronos_2:e3,dgs30,Q2,656,0.053353658536585365,0.7232276772322768,True,
chronos_2:e3,dgs30,Q3,656,0.039634146341463415,0.21707829217078292,True,
chronos_2:e3,dgs30,Q4,657,0.0426179604261796,0.42145785421457854,True,
chronos_2:e3,dgs5,Q1,656,0.04725609756097561,0.791020897910209,True,1.9227494746394875
chronos_2:e3,dgs5,Q2,656,0.04878048780487805,0.9277072292770723,True,2.29227159496931
chronos_2:e3,dgs5,Q3,656,0.04878048780487805,0.9277072292770723,True,2.4716355895582196
chronos_2:e3,dgs5,Q4,657,0.0319634703196347,0.024897510248975102,False,2.8961418194648907
