model,asset,alpha,pair,n,stat,p,mean_diff
chronos_bolt,csi300,0.01,F1_vs_garch_evt,1680,3.0703111233549123,0.0021726400964291,0.1203948267923504
chronos_bolt,csi300,0.01,F1_vs_F4,1678,-1.1140629180613664,0.2654118374635136,-0.0917819580354809
chronos_bolt,csi300,0.025,F1_vs_garch_evt,1680,2.745644722993057,0.0061036214371003,0.0707565446988721
chronos_bolt,csi300,0.025,F1_vs_F4,1680,-1.0332780503626815,0.3016226020585754,-0.0437082471410422
chronos_bolt,csi300,0.05,F1_vs_garch_evt,1680,2.28820350428684,0.022249446050708,0.0480739385344889
chronos_bolt,csi300,0.05,F1_vs_F4,1680,-0.9717728418762028,0.3313035418380262,-0.0270939327753399
chronos_bolt,dax,0.01,F1_vs_garch_evt,2165,0.7800216383639581,0.4354634431433445,0.0633417193782171
chronos_bolt,dax,0.01,F1_vs_F4,2149,-1.8432331944550877,0.0654326612325918,-0.1953710053355247
chronos_bolt,dax,0.025,F1_vs_garch_evt,2165,1.2121578249622929,0.2255842986113563,0.0557403047743484
chronos_bolt,dax,0.025,F1_vs_F4,2151,-2.4394135246920627,0.0147914751144061,-0.0833381151042135
chronos_bolt,dax,0.05,F1_vs_garch_evt,2165,1.2388351167694782,0.2155409206771338,0.0372420125293636
chronos_bolt,dax,0.05,F1_vs_F4,2160,-1.2989102605493366,0.1941134306218344,-0.0182733623470603
chronos_bolt,dgs10,0.01,F1_vs_garch_evt,2125,-0.2761285235547807,0.7824762170258713,-0.011787535424577
chronos_bolt,dgs10,0.01,F1_vs_F4,2124,-0.2774782528485759,0.7814399185074393,-0.0078457362064128
chronos_bolt,dgs10,0.025,F1_vs_garch_evt,2125,-0.7842929416835962,0.4329556971158308,-0.0185379381530447
chronos_bolt,dgs10,0.025,F1_vs_F4,2124,-0.8169965723633704,0.4140220565672571,-0.0101980376811813
chronos_bolt,dgs10,0.05,F1_vs_garch_evt,2125,-1.187098491311119,0.2353215208284887,-0.0190967347554263
chronos_bolt,dgs10,0.05,F1_vs_F4,2124,-1.5980313322929518,0.1101848166609355,-0.012562787120809
chronos_bolt,dgs2,0.01,F1_vs_garch_evt,2125,-0.5246277329284221,0.5998967518020517,-0.0206184752352988
chronos_bolt,dgs2,0.01,F1_vs_F4,2102,-1.5448145740372965,0.1225417221544391,-0.0936067263548389
chronos_bolt,dgs2,0.025,F1_vs_garch_evt,2125,-0.8505853173595512,0.3950956229886078,-0.0211472479657212
chronos_bolt,dgs2,0.025,F1_vs_F4,2098,-1.949567302051088,0.0513608430009847,-0.0688436565666767
chronos_bolt,dgs2,0.05,F1_vs_garch_evt,2125,-0.7531129488195449,0.4514655083892916,-0.014085547181382
chronos_bolt,dgs2,0.05,F1_vs_F4,2102,-2.412536744573484,0.0159271073628089,-0.0507072365238407
chronos_bolt,dgs30,0.01,F1_vs_garch_evt,2125,0.7298222581664111,0.4655793160106485,0.0220686493022895
chronos_bolt,dgs30,0.01,F1_vs_F4,2041,-3.026023110080176,0.0025089046971325,-0.1443472762200876
chronos_bolt,dgs30,0.025,F1_vs_garch_evt,2125,0.5345641503099954,0.5930072289934805,0.0102867217958097
chronos_bolt,dgs30,0.025,F1_vs_F4,2052,-4.19114525034671,2.893330752761922e-05,-0.0724287875839149
chronos_bolt,dgs30,0.05,F1_vs_garch_evt,2125,0.9630855644974332,0.3356142158896322,0.0125719692084593
chronos_bolt,dgs30,0.05,F1_vs_F4,2064,-5.183222070495778,2.3936169572358044e-07,-0.0497541814991188
chronos_bolt,dgs5,0.01,F1_vs_garch_evt,2125,-0.5337226623948029,0.5935892755326021,-0.0214855650643766
chronos_bolt,dgs5,0.01,F1_vs_F4,2125,-0.4534572767318667,0.6502658233290202,-0.0197577661438963
chronos_bolt,dgs5,0.025,F1_vs_garch_evt,2125,-0.9040960384386,0.3660470078611403,-0.0220889591723117
chronos_bolt,dgs5,0.025,F1_vs_F4,2125,-0.5601505163455669,0.5754358480944393,-0.0108111510902917
