model,asset,alpha,pair,n,stat_frozen,p_frozen,stat_nw,p_nw,nw_lag,mean_diff
chronos_bolt,btc,0.025,F1_vs_F4,2808,0.6210505559127684,0.5346167858399526,0.5733629750880634,0.5663989539112078,8,0.0191405989216952
chronos_bolt,btc,0.05,F1_vs_garch_evt,2808,0.5652320967778218,0.5719610798061241,0.5035824740196164,0.6145548109437917,8,0.0134635103715529
chronos_bolt,btc,0.05,F1_vs_F4,2808,0.8249894086530969,0.4094477052145712,0.7578997872269735,0.44851097767645687,8,0.0150494837748226
chronos_bolt,copper,0.01,F1_vs_garch_evt,2140,0.0120245743479499,0.990407130337742,0.011748105479966912,0.990626583636016,7,0.0004190686154543
chronos_bolt,copper,0.01,F1_vs_F4,2105,0.1191776910750302,0.9051459580386942,0.11932525220021399,0.9050176780612542,7,0.0057062793027079
chronos_bolt,copper,0.025,F1_vs_garch_evt,2140,-0.0688195191032539,0.9451397134129936,-0.0642405282446867,0.9487787071496856,7,-0.0014139440610099
chronos_bolt,copper,0.025,F1_vs_F4,2139,-0.5406828873720678,0.5887824975704248,-0.5109024123872581,0.609419391880071,7,-0.0100328593630449
chronos_bolt,copper,0.05,F1_vs_garch_evt,2140,0.5564133921119584,0.5779864886127593,0.5195463597651335,0.6033797928290583,7,0.0084713077118951
chronos_bolt,copper,0.05,F1_vs_F4,2140,0.115742339850933,0.9078676137929882,0.1103331877907684,0.9121451378775416,7,0.0012231800043964
chronos_bolt,csi300,0.01,F1_vs_garch_evt,1680,3.0703111233549123,0.0021726400964291,3.057831409950226,0.0022294496553663112,7,0.1203948267923504
chronos_bolt,csi300,0.01,F1_vs_F4,1678,-1.1140629180613664,0.2654118374635136,-1.0189629761539984,0.3082205438431709,7,-0.0917819580354809
chronos_bolt,csi300,0.025,F1_vs_garch_evt,1680,2.745644722993057,0.0061036214371003,2.6319351765976844,0.008490006000287043,7,0.0707565446988721
chronos_bolt,csi300,0.025,F1_vs_F4,1680,-1.0332780503626815,0.3016226020585754,-0.9925301162273356,0.3209389958782918,7,-0.0437082471410422
chronos_bolt,csi300,0.05,F1_vs_garch_evt,1680,2.28820350428684,0.022249446050708,2.243673165179621,0.024853437911890763,7,0.0480739385344889
chronos_bolt,csi300,0.05,F1_vs_F4,1680,-0.9717728418762028,0.3313035418380262,-0.9388402241034183,0.3478127833885041,7,-0.0270939327753399
chronos_bolt,dax,0.01,F1_vs_garch_evt,2165,0.7800216383639581,0.4354634431433445,0.6953221837915197,0.48685341492264,7,0.0633417193782171
chronos_bolt,dax,0.01,F1_vs_F4,2149,-1.8432331944550877,0.0654326612325918,-1.8446844461395504,0.06508345474905197,7,-0.1953710053355247
chronos_bolt,dax,0.025,F1_vs_garch_evt,2165,1.2121578249622929,0.2255842986113563,0.965078425548404,0.33450553207465816,7,0.0557403047743484
chronos_bolt,dax,0.025,F1_vs_F4,2151,-2.4394135246920627,0.0147914751144061,-2.432093998917417,0.015011810865518616,7,-0.0833381151042135
chronos_bolt,dax,0.05,F1_vs_garch_evt,2165,1.2388351167694782,0.2155409206771338,0.9626371321268368,0.33572965634926666,7,0.0372420125293636
chronos_bolt,dax,0.05,F1_vs_F4,2160,-1.2989102605493366,0.1941134306218344,-1.2100445296103624,0.22626180643241356,7,-0.0182733623470603
chronos_bolt,dgs10,0.01,F1_vs_garch_evt,2125,-0.2761285235547807,0.7824762170258713,-0.28544734395414345,0.7753014403107568,7,-0.011787535424577
chronos_bolt,dgs10,0.01,F1_vs_F4,2124,-0.2774782528485759,0.7814399185074393,-0.2689162057941683,0.7879941657732985,7,-0.0078457362064128
chronos_bolt,dgs10,0.025,F1_vs_garch_evt,2125,-0.7842929416835962,0.4329556971158308,-0.8272739035278235,0.4080818316446806,7,-0.0185379381530447
chronos_bolt,dgs10,0.025,F1_vs_F4,2124,-0.8169965723633704,0.4140220565672571,-0.7970794792374538,0.4254048734123925,7,-0.0101980376811813
chronos_bolt,dgs10,0.05,F1_vs_garch_evt,2125,-1.187098491311119,0.2353215208284887,-1.2090306470155943,0.22665107148145824,7,-0.0190967347554263
