model,asset,alpha,arm,in_mcs,mcs_p,n
chronos_bolt,natgas,0.01,fhs,True,0.2004,2098
chronos_bolt,natgas,0.025,F1,True,0.1754,2103
chronos_bolt,natgas,0.025,H,True,0.1754,2103
chronos_bolt,natgas,0.025,F2,True,0.1754,2103
chronos_bolt,natgas,0.025,F3,True,0.1754,2103
chronos_bolt,natgas,0.025,F4,False,0.089,2103
chronos_bolt,natgas,0.025,garch_evt,True,0.1754,2103
chronos_bolt,natgas,0.025,fhs,True,0.1754,2103
chronos_bolt,natgas,0.05,F1,True,0.2876,2119
chronos_bolt,natgas,0.05,H,True,0.2876,2119
chronos_bolt,natgas,0.05,F2,True,0.2876,2119
chronos_bolt,natgas,0.05,F3,True,0.2876,2119
chronos_bolt,natgas,0.05,F4,True,0.2876,2119
chronos_bolt,natgas,0.05,garch_evt,True,0.2876,2119
chronos_bolt,natgas,0.05,fhs,True,0.2876,2119
chronos_bolt,ndx,0.01,F1,True,0.708,2120
chronos_bolt,ndx,0.01,H,True,0.708,2120
chronos_bolt,ndx,0.01,F2,True,0.708,2120
chronos_bolt,ndx,0.01,F3,False,0.098,2120
chronos_bolt,ndx,0.01,F4,True,0.708,2120
chronos_bolt,ndx,0.01,garch_evt,True,0.708,2120
chronos_bolt,ndx,0.01,fhs,True,0.708,2120
chronos_bolt,ndx,0.025,F1,True,0.2544,2115
chronos_bolt,ndx,0.025,H,True,0.2544,2115
chronos_bolt,ndx,0.025,F2,True,0.2544,2115
chronos_bolt,ndx,0.025,F3,True,0.2544,2115
chronos_bolt,ndx,0.025,F4,True,0.2544,2115
chronos_bolt,ndx,0.025,garch_evt,True,0.2544,2115
chronos_bolt,ndx,0.025,fhs,True,0.2544,2115
